parameter_key,megnevezes,ui_definicio,kategoria,adatforras_ok,adatforras_link,gis_modszertan,merkegyseg,normalizalas_100_pt,normalizalas_0_pt,sulyozhatosag
"cultural_index","Kulturális élet index","A mutató a település kulturális kínálatát és a tényleges részvételi aktivitást fejezi ki négy egyenlő súlyú komponens alapján: mozitermek száma, színházak száma, települési könyvtárak száma, és a rendszeres művelődési formákban résztvevők száma (szakkörök, kórusok, tánccsoportok, irodalmi körök stb.). A végső érték a négy 0-100-as alindex átlaga.","Helyi szolgáltatások","KSH TEIR / TSTAR - mozitermek (TAAL104, 2024); színházak (TAAL700, 2024); települési könyvtárak (TAAL005, 2023); rendszeres művelődési formákban résztvevők (TAAL602, 2024)","https://www.teir.hu","Négy alindex mindegyike log-normalizált: log(érték + 1) / log(cap) x 100, CLAMP(0, 100). Capek (p95 alapján): mozitermek = 13, színház = 4, könyvtár = 5, résztvevők = 610 fő. Végső index = (mozi_score + szinhaz_score + konyvtar_score + aktivitas_score) / 4. Nincs GIS-komponens, kizárólag TEIR táblaadatok.","indexpont (0-100)","Minden komponens eléri a cap értékét: >= 13 moziterem, >= 4 színház, >= 5 könyvtár, >= 610 rendszeres résztvevő","Mind a négy komponens nulla (~31 település, ~1%)","Pozitív irányú (magasabb érték = gazdagabb kulturális kínálat és aktívabb részvétel)"
"groceries_index","Kiskereskedelmi ellátottsági index","A mutató azt fejezi ki, milyen közel és milyen választékban érhetők el a nagy élelmiszer-diszkontláncok az adott településről. Az alappont a legközelebbi üzlet légvonalbeli távolságán alapul, a bónusz az 5 km-es körzetben elérhető különböző brandek számát jutalmazza.","Helyi szolgáltatások","OpenStreetMap - üzlet-poligonok (shop=supermarket/discount; Aldi, Lidl, Tesco, Spar, Penny, Auchan; 1217 üzlet, 2025)","https://www.openstreetmap.org","OSM Polygon/MultiPolygon centroid számítása (cipőfűző-formula) -> WGS84 -> EOV transzformáció (Helmert + TM, EPSG:23700) -> S_base: legközelebbi üzlet légvonalbeli távolsága (<= 2 km = 60 pt, >= 20 km = 0 pt, között lineáris); S_variety: egyedi brandek száma 5 km-es körzetben -> max(0, min(40, (N-1)x10)); végső index = min(100, S_base + S_variety).","indexpont (0-100)","Legalább 1 üzlet <= 2 km-en belül (S_base = 60) + 5 különböző brand 5 km-en belül (S_variety = 40)","Egyetlen ismert lánc sincs 20 km-en belül","Pozitív irányú (magasabb érték = jobb ellátottság és választék)"
"sport_index","Sport és rekreáció index","A mutató azt fejezi ki, milyen gazdag és sokszínű sportolási lehetőség érhető el az adott településen: hányféle sportágat lehet szervezett keretek között gyakorolni, és milyen sűrűn találhatók fizikai sportlétesítmények a közelben. 0-100-as lineáris skálára normalizálva.","Helyi szolgáltatások","NSR - Nemzeti Sportinformációs Rendszer (8294 aktív egyesület, 2026. május); OpenStreetMap - sportlétesítmények (Overpass API, 20 681 objektum, 2025)","https://msir.sport.hu; https://www.openstreetmap.org","Két alindex 50-50% súllyal. (1) Sportágak sokfélesége: az adott településen bejegyzett aktív egyesületek Sportágak mezőjéből kinyert egyedi sportágak száma (vesszővel elválasztott lista, deduplikálva; Budapest: az összes fővárosi egyedi sportág összesítve, 159 db). (2) Létesítménysűrűség: OSM sportlétesítmények száma a település centroidjától mért 3 km-es körzetben. Mindkét alindex log-normalizált (0-100). Végső index = 0.5 x sportág_index + 0.5 x létesítmény_index.","indexpont (0-100)","159 egyedi sportág és >= 530 OSM létesítmény 3 km-en belül (budapesti referencia-maximum)","0 sportág és 0 létesítmény 3 km-en belül","Pozitív irányú (magasabb érték = több és sokszínűbb sportolási lehetőség)"
"gastro_index","Gasztro és vendéglátás jelenlét index","A mutató a település lakott területén belül elérhető vendéglátóhelyek számát és sűrűségét fejezi ki. A magas érték élénk, sokszínű gasztrokínálatot jelent, az alacsony érték vendéglátóhely-szegény környezetet.","Helyi szolgáltatások","OpenStreetMap - vendéglátóhelyek (amenity=restaurant/cafe/pub/bar/bakery/fast_food; Overpass API, 22 365 POI, 2025)","https://www.openstreetmap.org","OSM POI-k WGS84 -> EOV koordináta-transzformációja (Helmert + TM, EPSG:23700) -> point-in-polygon hozzárendelés a lakott területek poligonjaihoz -> Budapest kerületenként külön kezelve -> raw POI-darabszám per település -> log1p normalizálás 0-100-ra.","indexpont (0-100)","Budapest belvárosi szintű gasztrosűrűség (log1p skálán a szélső maximum)","Nincs regisztrált vendéglátóhely a település lakott területén belül","Pozitív irányú lineáris (több és változatosabb hely = magasabb pontszám)"
"senior_index","65 év feletti lakosság aránya (Senior Index)","A település korszerkezetének elöregedettségét kifejező mutató: a 65 év feletti lakosság aránya a teljes népességen belül, 1-100-as lineáris skálára normalizálva. Az alacsony érték fiatalosabb korszerkezetet jelez.","Társadalom és demográfia","KSH Népszámlálás 2022","https://www.ksh.hu/nepszamlalas_2022","Nincs GIS-komponens; kizárólag táblaadatból számított. Képlet: fo_65_felett / lakossag_osszesen. Min-max normalizálás az országos szélsőértékek között: 1 + (arány - 0.0225) / (0.6667 - 0.0225) x 99. Budapest kerületek római számos névformátummal (pl. II. kerület).","indexpont (1-100)","Legmagasabb 65+ arány a hazai mintában (66.67%)","Legalacsonyabb 65+ arány a hazai mintában (2.25%)","Negatív irányú lineáris (alacsonyabb index = fiatalosabb korszerkezet)"
"diploma_index","Diplomások normalizált indexe","A település humántőkéjét tükröző mutató, amely a diplomások arányát fejezi ki a 7 év feletti lakosság körében, a valós hazai szélsőértékekhez (0%-54.82%) igazított relatív 0-100-as skálán.","Társadalom és demográfia","KSH Népszámlálás 2022","https://www.ksh.hu/nepszamlalas_2022","Nincs GIS-komponens; kizárólag táblaadatból számított. Képlet: diplomások / 7 év feletti lakos. Min-max transzformáció: [(arány - 0.0) / (0.5482 - 0.0)] x 100.","indexpont (0-100)","54.82% vagy annál magasabb diplomás arány","0% diplomás arány","Pozitív irányú lineáris"
"real_estate_price_grow_5yrs_index","Ingatlanár-emelkedési index (5 év)","A lakás, ház és telek átlagos négyzetméterárának összesített százalékos változása a 2022. márciusi bázishoz képest a 2026. márciusi állapotig; az eredmény 0-100-as lineáris indexre transzformálva.","Gazdaság és munkaerőpiac","Helyi ingatlanpiaci adatbázis (márciusi árstatisztikák, 2022-2026)","","Nincs GIS-komponens; márciusonkénti átlagos Ft/m2 árak típusonként -> százalékos változás (2022-03 -> 2026-03) -> a három típus együttes növekedési ütemének összefoglalása (összesített ütem) -> lineáris pontszámozás az országos szélsőértékekhez igazítva.","indexpont (0-100)","A vizsgált időszakban mért legnagyobb országos összesített árnövekedési ütem","0% vagy negatív összesített árváltozás a vizsgált időszakban","Pozitív irányú lineáris"
"real_estate_price_avg5mth_index","Aktuális ingatlanár-szint (2025-2026)","A lakás, ház és telek összesített átlagos négyzetméterára a 2025. november és 2026. március közötti időszakban (több hónap átlagolt szintje), 0-100-as lineáris skálára normalizálva.","Gazdaság és munkaerőpiac","Helyi ingatlanpiaci adatbázis (2025.11-2026.03)","","Nincs GIS-komponens; havi átlagos Ft/m2 árak az adott öt hónapra típusonként aggregálva -> három típus összesített árszintje -> lineáris min-max normalizálás a települések közötti legalacsonyabb és legmagasabb összesített szinthez képest.","indexpont (0-100)","A hazai mintában mért legmagasabb összesített átlagos árszínvonal","A hazai mintában mért legalacsonyabb összesített átlagos árszínvonal","Pozitív irányú lineáris"
"sleeping_city_index","Alvóváros index","A mutató azt fejezi ki, hogy a településen élő foglalkoztatottak mekkora hányada ingázik el más településre dolgozni. A magas érték erős alvóváros-jelleget jelent (a lakók többsége máshol dolgozik), az alacsony érték azt jelzi, hogy a foglalkoztatottak helyben maradnak.","Gazdaság és munkaerőpiac","KSH Népszámlálás 2022 - WBS026 tábla (foglalkoztatott népesség településenként)","https://www.ksh.hu/nepszamlalas_2022","Nincs GIS-komponens; kizárólag táblaadatból számított. Képlet: más_településre_dolgozni_járó / összes_foglalkoztatott_lakos. Lineáris normalizálás: nyers arány x 100 (természetes 0-1 skála). Budapest kerületek a fővárosi összesített értéket kapják.","indexpont (0-100)","Az összes foglalkoztatott lakos más településre ingázik (kijárási arány = 100%)","Egyetlen foglalkoztatott sem ingázik el más településre (kijárási arány = 0%)","Negatív irányú lineáris (magasabb érték = erősebb alvóváros-jelleg)"
"jobs_index","Helyi munkalehetőség index","A mutató a település helyi munkaerőpiacának kapacitását fejezi ki: a helyi munkahelyek száma és a foglalkoztatott lakos száma közötti arányt méri. Az 1.0-s arány egyensúlyt jelent; az ennél magasabb érték munkaerő-vonzáskörzetre, az alacsonyabb erős kijárási nyomásra utal. 0-100-as indexen.","Gazdaság és munkaerőpiac","KSH Népszámlálás 2022 - WBS026 tábla (foglalkoztatott népesség településenként)","https://www.ksh.hu/nepszamlalas_2022","Nincs GIS-komponens; kizárólag táblaadatból számított. Képlet: helyben_foglalkoztatottak_száma / foglalkoztatott_lakos. Normalizálás: a nyers arány 2.0-nál van lekorlátozva (a 2.0 feletti értékek 100 pontot kapnak); skálázás: min(nyers_arány; 2.0) / 2.0 x 100. Budapest kerületek a fővárosi összesített értéket kapják.","indexpont (0-100)","A helyi munkahelyek száma legalább kétszerese a foglalkoztatott lakos számának (nyers arány >= 2.0; erős munkaerő-vonzásközpont)","Egyetlen helyi munkahely sincs a településen (helyben_foglalkoztatottak = 0)","Pozitív irányú lineáris (magasabb érték = több helyi munkalehetőség)"
"turism_index","Turizmus index","A mutató a 2024-es települési idegenforgalmi adó (IFA) lakosonkénti bevételéből indul (ezer Ft/fő), és 0-100 ponton mutatja, mennyire intenzív a szálláshelyhez kötött vendégforgalom az állandó lakossághoz képest.","Gazdaság és munkaerőpiac","Települési IFA-bevételek és állandó lakónépesség (2024)","","Nincs GIS-komponens; kizárólag táblaadatból számított. Képlet: IFA-bevétel / állandó lakónépesség -> Ft/fő -> 0-100-ra normalizálva.","indexpont (0-100)","Kiemelt turisztikai intenzitás (a mintában több település is 100 pont; nyers maximum kb. 151 eFt/fő)","0 eFt/fő (nincs mért IFA-bevétel)","Pozitív irányú (több adó/fő = magasabb pont)"
"school_proximity_index","School Proximity Index","A mutató négy iskolakategóriára – általános iskola (sima), általános iskola (alternatív), gimnázium (sima), gimnázium (alternatív) – megadja, hogy hány intézmény érhető el a lakott terület határától számított 0, 5, 10, 15, 20, 25, 30, 35, 40, 45 és 50 km-es körzetben (kumulatív), valamint a legközelebbi iskola közúti távolságát km-ben és nevét. A 0 km-es kör a lakott területen belül elhelyezkedő iskolákat jelenti.","Helyi szolgáltatások","Oktatási Hivatal – Köznevelési Intézményi Törzsadattár (5 230 intézmény, OM-azonosítókkal, 2025); Nominatim / OSM geocoding (újrageokódolva 2025); OSRM Open Source Routing Machine (közúti távolság)","https://www.oktatas.hu; https://nominatim.openstreetmap.org; http://project-osrm.org","1. Intézmények szűrése: altalanos_iskola=1 / gimnazium=1 × alternativ=0/1 jelzők alapján (egy iskola több kategóriában is szerepelhet). 2. Vetítés: iskola-koordináták WGS84 → EOV (EPSG:23700). 3. Távolság alap: shapely polygon.distance(pont) a lakott terület poligonjától (magyarorszagi_telepulesek_lakott_teruletei.gpkg, réteg: budapesttel) – belső pont távolsága 0. 4. Kumulatív körök: az egyes sugárértékeknél (0–50 km) a feltételt teljesítő iskolák száma és neve. 5. Legközelebbi iskola: top 3 egyenes-vonalú jelölt → párhuzamos OSRM route/v1/driving lekérdezés → legkisebb közúti km és az ahhoz tartozó iskolanév.","db (körönként kumulatív iskolaszám); km (legközelebbi közúton)","Nem normalizált nyers adat – közvetlenül szűrőfeltételként és közelség-pontszám alapjaként használható","Nem normalizált nyers adat","Szűrőfeltételként alkalmazható (iskolaszám és közúti távolság alapján); nagyobb értékkülönbségek súlyozáshoz is felhasználhatók"
"telepules_nev_egysegesites","Településnév – Budapest kerületek (közös tábla)","Összefésüléskor a domborzat-index településlistájához igazítás: Budapest előtagos kerületnév ugyanaz mint a római számos kerületnév. Ha egy FINAL csak egy összesítő Budapest sort tartalmaz kerületi sorok nélkül ugyanaz az érték a 23 kerület minden sorára másolódik. Nem súlyozandó meta sor.","Meta (adatintegráció)","","","","","","",""
